2026-02-25 18:59:11 status half-installed libnet1:arm64 1.3+dfsg-2
2026-02-25 18:59:11 status unpacked libnet1:arm64 1.3+dfsg-2
2026-02-25 18:59:11 install libcompel1:arm64 <none> 4.1.1-1
2026-02-25 18:59:11 status half-installed libcompel1:arm64 4.1.1-1
2026-02-25 18:59:11 status unpacked libcompel1:arm64 4.1.1-1
2026-02-25 18:59:11 install criu:arm64 <none> 4.1.1-1
2026-02-25 18:59:11 status half-installed criu:arm64 4.1.1-1
2026-02-25 18:59:11 status unpacked criu:arm64 4.1.1-1
2026-02-25 18:59:11 install docker-buildx:arm64 <none> 0.13.1+ds1-3
2026-02-25 18:59:11 status half-installed docker-buildx:arm64 0.13.1+ds1-3
2026-02-25 18:59:15 status unpacked docker-buildx:arm64 0.13.1+ds1-3
2026-02-25 18:59:15 install docker-cli:arm64 <none> 26.1.5+dfsg1-9+b11
2026-02-25 18:59:15 status half-installed docker-cli:arm64 26.1.5+dfsg1-9+b11
2026-02-25 18:59:19 status unpacked docker-cli:arm64 26.1.5+dfsg1-9+b11
2026-02-25 18:59:19 install libintl-perl:all <none> 1.35-1
2026-02-25 18:59:19 status half-installed libintl-perl:all 1.35-1
2026-02-25 18:59:20 status unpacked libintl-perl:all 1.35-1
2026-02-25 18:59:20 install libintl-xs-perl:arm64 <none> 1.35-1
2026-02-25 18:59:20 status half-installed libintl-xs-perl:arm64 1.35-1
2026-02-25 18:59:20 status unpacked libintl-xs-perl:arm64 1.35-1
2026-02-25 18:59:20 install libmodule-find-perl:all <none> 0.17-1
2026-02-25 18:59:20 status half-installed libmodule-find-perl:all 0.17-1
2026-02-25 18:59:20 status unpacked libmodule-find-perl:all 0.17-1
2026-02-25 18:59:20 install libproc-processtable-perl:arm64 <none> 0.636-1+b3
2026-02-25 18:59:20 status half-installed libproc-processtable-perl:arm64 0.636-1+b3
2026-02-25 18:59:20 status unpacked libproc-processtable-perl:arm64 0.636-1+b3
2026-02-25 18:59:20 install libsort-naturally-perl:all <none> 1.03-4
2026-02-25 18:59:20 status half-installed libsort-naturally-perl:all 1.03-4
2026-02-25 18:59:20 status unpacked libsort-naturally-perl:all 1.03-4
2026-02-25 18:59:20 install libterm-readkey-perl:arm64 <none> 2.38-2+b4
2026-02-25 18:59:20 status half-installed libterm-readkey-perl:arm64 2.38-2+b4
2026-02-25 18:59:20 status unpacked libterm-readkey-perl:arm64 2.38-2+b4
2026-02-25 18:59:20 install needrestart:all <none> 3.11-1
2026-02-25 18:59:20 status half-installed needrestart:all 3.11-1
2026-02-25 18:59:21 status unpacked needrestart:all 3.11-1
2026-02-25 18:59:21 install python3-protobuf:arm64 <none> 3.21.12-11
2026-02-25 18:59:21 status half-installed python3-protobuf:arm64 3.21.12-11
2026-02-25 18:59:21 status unpacked python3-protobuf:arm64 3.21.12-11
2026-02-25 18:59:21 install python3-pycriu:all <none> 4.1.1-1
2026-02-25 18:59:21 status half-installed python3-pycriu:all 4.1.1-1
2026-02-25 18:59:21 status unpacked python3-pycriu:all 4.1.1-1
2026-02-25 18:59:21 startup packages configure
2026-02-25 18:59:21 configure docker-cli:arm64 26.1.5+dfsg1-9+b11 <none>
2026-02-25 18:59:21 status unpacked docker-cli:arm64 26.1.5+dfsg1-9+b11
2026-02-25 18:59:21 status half-configured docker-cli:arm64 26.1.5+dfsg1-9+b11
2026-02-25 18:59:21 status installed docker-cli:arm64 26.1.5+dfsg1-9+b11
2026-02-25 18:59:21 configure libnet1:arm64 1.3+dfsg-2 <none>
2026-02-25 18:59:21 status unpacked libnet1:arm64 1.3+dfsg-2
2026-02-25 18:59:21 status half-configured libnet1:arm64 1.3+dfsg-2
2026-02-25 18:59:21 status installed libnet1:arm64 1.3+dfsg-2
2026-02-25 18:59:21 configure runc:arm64 1.1.15+ds1-2+b4 <none>
2026-02-25 18:59:21 status unpacked runc:arm64 1.1.15+ds1-2+b4
2026-02-25 18:59:21 status half-configured runc:arm64 1.1.15+ds1-2+b4
2026-02-25 18:59:21 status installed runc:arm64 1.1.15+ds1-2+b4
2026-02-25 18:59:21 configure libcompel1:arm64 4.1.1-1 <none>
2026-02-25 18:59:21 status unpacked libcompel1:arm64 4.1.1-1
2026-02-25 18:59:21 status half-configured libcompel1:arm64 4.1.1-1
2026-02-25 18:59:21 status installed libcompel1:arm64 4.1.1-1
2026-02-25 18:59:21 configure libmodule-find-perl:all 0.17-1 <none>
2026-02-25 18:59:21 status unpacked libmodule-find-perl:all 0.17-1
2026-02-25 18:59:21 status half-configured libmodule-find-perl:all 0.17-1
